question_id,query,method,answer,sources,num_contexts
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,baseline_no_rag,لا أستطيع إعطاء جواب قانوني موثوق بدون الرجوع إلى قاعدة المعرفة القانونية.,,0
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,rag_classic,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 1 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة | ID 2 — مدونة الأسرة المغربية,3
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,rag_rerank,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. المادة 13: يشترط لصحة عقد الزواج أهلية الزوج والزوجة، وعدم الاتفاق على إسقاط الصداق، ووجود الولي عند الاقتضاء، وسماع العدلين التصريح بالإيجاب والقبول، وانتفاء الموانع الشرعية. قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 1 — مدونة الأسرة المغربية | ID 4 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة,3
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,rag_hybrid,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 19: تكتمل أهلية الزواج بإتمام الفتى والفتاة ثمان عشرة سنة شمسية، مع التمتع بالأهلية العقلية.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 1 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة | ID 5 — مدونة الأسرة المغربية,3
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,multi_hop,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 19: تكتمل أهلية الزواج بإتمام الفتى والفتاة ثمان عشرة سنة شمسية، مع التمتع بالأهلية العقلية.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 1 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة | ID 2 — مدونة الأسرة المغربية | ID 5 — مدونة الأسرة المغربية,4
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,graph_rag,"المادة 19: تكتمل أهلية الزواج بإتمام الفتى والفتاة ثمان عشرة سنة شمسية، مع التمتع بالأهلية العقلية. المادة 13: يشترط لصحة عقد الزواج أهلية الزوج والزوجة، وعدم الاتفاق على إسقاط الصداق، ووجود الولي عند الاقتضاء، وسماع العدلين التصريح بالإيجاب والقبول، وانتفاء الموانع الشرعية. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 5 — مدونة الأسرة المغربية | ID 4 — مدونة الأسرة المغربية | ID 2 — مدونة الأسرة المغربية | ID 6 — مدونة الأسرة المغربية,4
Q1,ما هي أهلية الزواج حسب مدونة الأسرة المغربية؟,agentic_rag,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. قرار قضائي أسري: تؤكد المحاكم المغربية في قضايا الحضانة أن مصلحة المحضون هي المعيار الأساسي في إسناد الحضانة أو تعديلها، حتى عند وجود ترتيب قانوني مسبق. المادة 19: تكتمل أهلية الزواج بإتمام الفتى والفتاة ثمان عشرة سنة شمسية، مع التمتع بالأهلية العقلية.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 1 — مدونة الأسرة المغربية | ID 50 — الاجتهاد القضائي المغربي - قضاء الأسرة | ID 5 — مدونة الأسرة المغربية,3
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,baseline_no_rag,لا أستطيع إعطاء جواب قانوني موثوق بدون الرجوع إلى قاعدة المعرفة القانونية.,,0
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,rag_classic,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين. المادة 10: ينعقد الزواج بإيجاب من أحد المتعاقدين وقبول من الآخر بألفاظ تفيد معنى الزواج، ويشترط أن يكون الرضا صريحا وخاليا من الإكراه.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 2 — مدونة الأسرة المغربية | ID 1 — مدونة الأسرة المغربية | ID 3 — مدونة الأسرة المغربية,3
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,rag_rerank,"المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين. المادة 10: ينعقد الزواج بإيجاب من أحد المتعاقدين وقبول من الآخر بألفاظ تفيد معنى الزواج، ويشترط أن يكون الرضا صريحا وخاليا من الإكراه.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 2 — مدونة الأسرة المغربية | ID 3 — مدونة الأسرة المغربية | ID 1 — مدونة الأسرة المغربية,3
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,rag_hybrid,"المادة 400: كل ما لم يرد به نص في مدونة الأسرة يرجع فيه إلى المذهب المالكي والاجتهاد الذي يراعي قيم العدل والمساواة والمعاشرة بالمعروف. المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 2 — مدونة الأسرة المغربية | ID 1 — مدونة الأسرة المغربية | ID 49 — مدونة الأسرة المغربية,3
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,multi_hop,"المادة 400: كل ما لم يرد به نص في مدونة الأسرة يرجع فيه إلى المذهب المالكي والاجتهاد الذي يراعي قيم العدل والمساواة والمعاشرة بالمعروف. المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 2 — مدونة الأسرة المغربية | ID 1 — مدونة الأسرة المغربية | ID 49 — مدونة الأسرة المغربية,3
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,graph_rag,"المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين. المادة 10: ينعقد الزواج بإيجاب من أحد المتعاقدين وقبول من الآخر بألفاظ تفيد معنى الزواج، ويشترط أن يكون الرضا صريحا وخاليا من الإكراه. المادة 20: يمكن لقاضي الأسرة المكلف بالزواج أن يأذن بزواج الفتى أو الفتاة دون سن الأهلية، بقرار معلل يبين فيه المصلحة والأسباب المبررة لذلك.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 2 — مدونة الأسرة المغربية | ID 3 — مدونة الأسرة المغربية | ID 6 — مدونة الأسرة المغربية | ID 17 — مدونة الأسرة المغربية,4
Q2,ما هو تعريف الزواج في مدونة الأسرة؟,agentic_rag,"المادة 400: كل ما لم يرد به نص في مدونة الأسرة يرجع فيه إلى المذهب المالكي والاجتهاد الذي يراعي قيم العدل والمساواة والمعاشرة بالمعروف. المادة 1 من مدونة الأسرة المغربية: تسمى الأحكام المتعلقة بالأسرة بمدونة الأسرة، وتهدف إلى تنظيم العلاقات الأسرية بما يضمن المساواة والعدل وحماية حقوق جميع أفراد الأسرة. المادة 4: الزواج ميثاق تراض وترابط شرعي بين رجل وامرأة على وجه الدوام، غايته الإحصان والعفاف وإنشاء أسرة مستقرة تحت رعاية الزوجين.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 2 — مدونة الأسرة المغربية | ID 1 — مدونة الأسرة المغربية | ID 49 — مدونة الأسرة المغربية,3
Q3,ما هي حقوق الأطفال على أبويهم؟,baseline_no_rag,لا أستطيع إعطاء جواب قانوني موثوق بدون الرجوع إلى قاعدة المعرفة القانونية.,,0
Q3,ما هي حقوق الأطفال على أبويهم؟,rag_classic,"المادة 54: للأطفال على أبويهم حقوق، منها حماية حياتهم وصحتهم، تثبيت هويتهم، النسب، الحضانة، النفقة، التعليم، والتوجيه الديني والتربوي السليم. المادة 163: الحضانة حفظ الولد مما قد يضره، والقيام بتربيته ومصالحه، وهي واجبة على الأبوين ما دامت علاقة الزوجية قائمة. المادة 213: الولاية الشرعية على القاصر تكون للأب ثم للأم الراشدة عند عدم وجود الأب أو فقد أهليته، ثم لوصي الأب، ثم للقاضي عند الاقتضاء.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 16 — مدونة الأسرة المغربية | ID 47 — مدونة الأسرة المغربية | ID 36 — مدونة الأسرة المغربية,3
Q3,ما هي حقوق الأطفال على أبويهم؟,rag_rerank,"المادة 54: للأطفال على أبويهم حقوق، منها حماية حياتهم وصحتهم، تثبيت هويتهم، النسب، الحضانة، النفقة، التعليم، والتوجيه الديني والتربوي السليم. المادة 163: الحضانة حفظ الولد مما قد يضره، والقيام بتربيته ومصالحه، وهي واجبة على الأبوين ما دامت علاقة الزوجية قائمة.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 16 — مدونة الأسرة المغربية | ID 36 — مدونة الأسرة المغربية | ID 41 — مدونة الأسرة المغربية,3
Q3,ما هي حقوق الأطفال على أبويهم؟,rag_hybrid,"المادة 54: للأطفال على أبويهم حقوق، منها حماية حياتهم وصحتهم، تثبيت هويتهم، النسب، الحضانة، النفقة، التعليم، والتوجيه الديني والتربوي السليم. المادة 163: الحضانة حفظ الولد مما قد يضره، والقيام بتربيته ومصالحه، وهي واجبة على الأبوين ما دامت علاقة الزوجية قائمة. المادة 213: الولاية الشرعية على القاصر تكون للأب ثم للأم الراشدة عند عدم وجود الأب أو فقد أهليته، ثم لوصي الأب، ثم للقاضي عند الاقتضاء.

المصادر المعتمدة مأخوذة من الوثائق المسترجعة.",ID 16 — مدونة الأسرة المغربية | ID 36 — مدونة الأسرة المغربية | ID 47 — مدونة الأسرة المغربية,3
